gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,c_seurat_clusters
CYP2A5,8.13952973231441e-121,0.770006870502141,1,0.855,1.39161539833379e-116,0
PCK1,5.9434819017828e-118,0.389904269316028,1,0.996,1.0161571007478e-113,0
SLC22A6,8.48873346724923e-116,0.706881099634897,1,0.807,1.4513187608956e-111,0
CYP4A14,9.60711356510339e-115,0.681161400080877,1,0.88,1.64252820622573e-110,0
CYP2E1,1.69235220632379e-112,0.621112198994796,1,0.939,2.89341456715178e-108,0
SPINK1,2.77265976467508e-111,0.251580468778227,1,0.999,4.74041639966498e-107,0
CYP4B1,4.57222998626075e-109,0.438228272216479,1,0.976,7.81714160751e-105,0
DNASE1,1.40042923126343e-107,0.466905007031329,1,0.988,2.39431385669109e-103,0
ASS1,1.23028530734835e-106,0.386358960771028,1,0.986,2.10341878997348e-102,0
UGT2B38,5.21828472060178e-105,0.706269691549022,1,0.783,8.92170138681287e-101,0
RDH16F2,3.79699472005806e-104,0.472331375028878,1,0.939,6.49172187288327e-100,0
SLC13A3,1.5082568743471e-101,0.535959554802523,1,0.923,2.57866677807123e-97,0
HPD,2.14766363639616e-100,0.555738952076125,1,0.928,3.67186051914652e-96,0
MIOX,1.37749436809136e-99,0.466251992292634,1,0.97,2.35510212112579e-95,0
TCN2,1.36324432132229e-98,0.256868445549978,1,0.999,2.33073881616472e-94,0
ACOX1,3.12631210443552e-95,0.273026864096329,1,0.997,5.34505580495341e-91,0
CES1D,4.09683742703305e-95,0.510279154381472,1,0.9,7.00436294899841e-91,0
ACSM2,1.05324091959123e-94,0.457557359465981,1,0.957,1.80072600022513e-90,0
ACAA1B,2.02086806640824e-94,0.477549637315095,1,0.911,3.45507813313818e-90,0
SLC34A1,3.28113843022806e-94,0.37945098020585,1,0.999,5.60976237416092e-90,0
KCNJ15,3.96262048439557e-92,0.403477854179323,1,0.945,6.77489224217111e-88,0
CLTRN,4.34087553612008e-92,0.309986964463474,1,0.997,7.42159490410451e-88,0
SORD,1.25529838239012e-90,0.259976525909523,1,0.999,2.14618364437238e-86,0
PAH,1.64973752101577e-90,0.614387347308509,1,0.821,2.82055623968067e-86,0
GLYAT,2.32483352412142e-90,0.495376902280469,1,0.896,3.97476787619038e-86,0
MSRB1,2.78987121943806e-88,0.318985492074382,1,0.997,4.76984282387325e-84,0
AKR1C21,3.93882764848582e-87,0.334046798384085,1,0.987,6.73421363061621e-83,0
PCX,1.00929664176509e-86,0.336393619930978,1,0.976,1.72559446842578e-82,0
FMO1,1.63198031259336e-86,0.421938597334878,1,0.917,2.79019674044087e-82,0
CAR14,1.77162857976905e-86,0.613581251880415,1,0.766,3.02895338283114e-82,0
HMGCS2,2.33023698489863e-86,0.733207696561338,0.98,0.577,3.98400617308118e-82,0
ALDH9A1,4.41813580777129e-80,0.337921264493468,1,0.986,7.55368679054658e-76,0
FBP1,1.16018558612604e-79,0.274974735064365,1,0.987,1.98356929659969e-75,0
SLC22A8,1.32598295782363e-77,0.637867644540592,1,0.762,2.26703306299106e-73,0
FOLH1,3.03774644494289e-77,0.624762538904353,0.996,0.712,5.19363509691885e-73,0
UGT2B37,3.85671237861755e-77,0.722007276885428,0.916,0.397,6.59382115372243e-73,0
SLC4A4,4.9747052156991e-77,0.466685315363581,1,0.923,8.50525350728075e-73,0
NDRG1,1.78985197444183e-76,0.310974439356388,1,0.998,3.06010992070319e-72,0
AASS,2.0255473984983e-76,0.383036008942249,1,0.918,3.46307838721254e-72,0
SLC22A12,6.74990164840624e-76,0.435199911122344,1,0.897,1.15403068482801e-71,0
NAT8F1,1.26805199135521e-75,0.315651139535514,1,0.986,2.16798848962e-71,0
DCXR,1.95240977052195e-75,0.287306886984223,1,0.985,3.33803498466138e-71,0
GLDC,3.80402164564344e-75,0.5894012483402,1,0.774,6.5037358075566e-71,0
NAT8,7.70124160892441e-75,0.303996935936596,1,0.989,1.31668127787781e-70,0
GSTA2,8.11686383108205e-75,0.468458677696501,1,0.866,1.3877402092001e-70,0
PAPSS2,3.37232170678494e-74,0.331752784736285,1,0.975,5.76565842209021e-70,0
G6PC,8.59519549800033e-74,0.586855298962747,0.988,0.718,1.46952057429312e-69,0
S100A11,5.33001546232468e-72,-0.352897591573952,0.992,1,9.11272743593651e-68,0
ERRFI1,1.69245263153656e-71,0.339248969518401,1,0.974,2.89358626413806e-67,0
CNDP2,1.18111103693763e-70,0.284522942602415,1,0.985,2.01934553985227e-66,0
TMEM252,3.21334899467916e-70,0.458493533283412,0.996,0.884,5.49386277620295e-66,0
SLC13A1,7.21658954256884e-70,0.560786975389452,1,0.774,1.23382031409299e-65,0
MSRA,8.14244823178438e-70,0.351014780871113,1,0.955,1.39211437418818e-65,0
LGMN,2.79558402274303e-69,0.260703315853991,1,0.997,4.77961000368376e-65,0
ALPL,2.85574947515776e-69,0.587101070949983,1,0.74,4.88247487767721e-65,0
TMEM37,3.87553783245736e-69,0.367921390969805,1,0.929,6.62600703215235e-65,0
CFB,1.67807613755373e-68,0.350951941164798,1,0.931,2.8690067723756e-64,0
NAT8F6,2.40890164422977e-68,0.512763443660131,0.996,0.772,4.11849914113964e-64,0
CMBL,3.16998563107051e-68,0.463991955878595,1,0.836,5.41972443344124e-64,0
NOX4,3.33333037848952e-68,0.585599819499245,0.996,0.714,5.69899494810353e-64,0
PIGR,1.18665401641524e-67,0.476467070155341,1,0.897,2.02882237186513e-63,0
SEPHS2,1.24081583165287e-67,0.307863653547771,1,0.97,2.12142282737691e-63,0
NAT8F5,1.62730239986674e-67,0.626122869419901,0.956,0.614,2.78219891305216e-63,0
SLCO1A6,4.4490215581751e-67,0.53689689223585,0.996,0.759,7.60649215801198e-63,0
GCDH,4.24362188561942e-66,0.294693229892761,1,0.981,7.25532033784352e-62,0
SLC17A1,5.65803280863627e-66,0.345110666591133,1,0.935,9.67353869292543e-62,0
GM19950,9.32438422309602e-66,0.366710002400766,1,0.923,1.59418997062273e-61,0
PKM,1.39139136761173e-65,-0.329994308589577,0.992,1,2.37886182120577e-61,0
SLC22A1,1.60435389563271e-65,0.342006891385006,1,0.929,2.74296385536324e-61,0
FITM1,3.14248545238408e-65,0.482111873080935,0.992,0.81,5.37270737794106e-61,0
AI314278,5.46859970347585e-65,0.366130393518423,1,0.936,9.34966491303267e-61,0
SLC17A3,2.65482422420463e-64,0.454770863151497,1,0.829,4.53895297612265e-60,0
TST,3.09934233436818e-64,0.42315669435521,1,0.867,5.29894558906928e-60,0
ALDH7A1,5.81798706680423e-64,0.357201764499139,1,0.938,9.94701248811519e-60,0
SLC37A4,1.43631406939584e-63,0.351417740774972,1,0.939,2.45566616444607e-59,0
APOM,3.88268344335961e-63,0.507319747745453,1,0.801,6.63822388311192e-59,0
CRYAB,7.15964831385488e-63,-0.565024778872071,0.924,0.994,1.22408507221977e-58,0
LRP2,8.93494277970638e-63,0.301907967290983,1,0.977,1.5276071670464e-58,0
ACNAT2,1.31185879121198e-62,0.571709680416223,0.944,0.556,2.24288497533513e-58,0
4931406C07RIK,9.88653574127552e-62,0.332995781842007,1,0.944,1.69030101568588e-57,0
MFSD4B5,2.70318287170093e-61,0.388325561462638,0.996,0.885,4.62163175574707e-57,0
TMSB4X,3.48737631921418e-61,-0.299367469852342,1,1,5.96236729296049e-57,0
SUSD2,4.39352799902003e-61,0.477930116699441,1,0.802,7.51161481992454e-57,0
SFXN1,6.63274456850839e-61,0.383289411078076,1,0.888,1.13400033887788e-56,0
CYP2D26,2.83718669596846e-60,0.433665638466944,1,0.878,4.85073809409727e-56,0
UTP20,5.22100508135594e-60,0.589801345980328,0.868,0.408,8.92635238759425e-56,0
CYP2J5,6.44376121276702e-60,0.321875919657908,1,0.949,1.10168985454678e-55,0
CRYL1,9.5788934693819e-60,0.30708400520482,1,0.96,1.63770341646022e-55,0
CES2C,4.3649509223299e-59,0.454402724934615,1,0.819,7.46275659190744e-55,0
CYP4A31,6.09386309626837e-59,0.372328411157735,1,0.908,1.041867773569e-54,0
PDK2,7.08068264979222e-59,0.276035787655639,1,0.987,1.21058431263498e-54,0
EIF4EBP3,1.10478936688524e-58,0.35287496193909,0.996,0.937,1.8888583805637e-54,0
LGR4,1.19020100411323e-58,0.298811094563292,1,0.976,2.03488665673239e-54,0
HACL1,3.8519169269272e-58,0.463807229478442,0.984,0.777,6.58562236996744e-54,0
SLC25A10,4.8553381964422e-58,0.268741869956286,1,0.972,8.30117171445723e-54,0
SHMT2,9.10350468416091e-58,0.400737571520416,0.996,0.876,1.55642619585099e-53,0
ETNPPL,2.72023292196995e-57,0.595682946042703,0.856,0.391,4.65078222669203e-53,0
RETREG1,3.44630177560894e-57,0.348989987710564,1,0.935,5.8921421457586e-53,0
NR1H4,3.78412260651477e-57,0.405357674061411,0.98,0.843,6.4697144203583e-53,0
SLC22A5,3.75373792431473e-56,0.418332278774622,0.992,0.84,6.4177657292009e-52,0
VNN1,4.53733428163372e-56,0.44040997393776,0.98,0.8,7.75748042130916e-52,0
IDH1,7.34335431784634e-55,0.418465986781243,1,0.872,1.25549328772219e-50,0
AZGP1,7.81193662717534e-55,0.504753155184809,0.948,0.673,1.33560680514817e-50,0
UPB1,1.14802255166373e-54,0.378026787163045,1,0.892,1.96277415657948e-50,0
